מספר חברה,שם חברה
918197,בנק לאומי - סניף קניון חיפה
918408,גיל אונגר
904098,"גרנות ארגון שיתופי אזורי בע""מ"
915411,ד.ג.ל - דיאמנט חיים
919947,דין קאר עסקים כלכליי
905956,דין שיווק
26579,האגודה למען החייל בי
900436,הגן הבאהי
5730,החברה הדרומית לשיווק
924237,הלידרים
919992,"המכירה לישיבות בע""מ"
916573,הקרן לידידות
907582, התאחדות המלאכה והתעשייה חיפה וצפון
910889,התאחדות המלאכה והתעשיה מחוז תל אביב והמרכז
926763,התאחדות המלאכה והתעשיה מחוז אשדוד והדרום
913164,התאחדות התעשיינים בישראל
922987,ויצו אחוזת ילדים
922214,ויצו כפר הילדים והנו
922265,ויצו נהלל   כפר נוער
914949,ויצו נהלל  ועד עובדי
914954,ויצו ניר העמק  ועד ע
922544,ויצו בית הורים
911026,ויצו בית הכרם
922357,ויצו נחלת יהודה
3106,ויצו הסתדרות עולמית
914978,ויצו גן ונוף
910446,חבר משרתי הקבע והגימ
901115,חברת החשמל ועד מרחב צפון - ועדת מבצעים לעובדים
912859,חברת החשמל לישראל בע
913736,חברת נמלי ישראל פיתו
914239,חברת נמלי ישראל ועד עובדים
917420,"חהש תו בע""מ"
920435,טוביאס מקבוצת ששלמה
4393,טכניון ארגון הסגל הא
918869,טכניון ארגון העובדים
904029,טכניון  - ארגון העובדים המנהליים בטכניון
922861,"טן - חברה לדלק בע""מ"
7319,ידיעות אחרונות בעמ
924685,ידיעות אחרונות בעמ
922910,ישראלום נכסים בעמ
913136,נמל אשדוד   ועד עובד
913137,נמל אשדוד - ועד עובדים תפעול וציוד מכני
900640,נמל חיפה
920477,נמל חיפה ועד עובדים - מחלקת ים
915330,נמל חיפה - ועד מינהל
924487,נמל חיפה ועד גוררות
924488,נמל חיפה ועד קופה לע
924511,נמל חיפה ועד מנהלי ע
924590,   נמל חיפה ועד ציוד
924416,נמל חיפה ועד טרנספור
924499,נמל חיפה קופה לעזרה
924500,נמל חיפה קופה לעזרה
924172,נמל מספנות ישראל בע
900750,נמל אשדוד
905906,נמל חיפה - ועד שרותי מעגן
909203,נמל חיפה מזכירות עובדים
913138,נמל אשדוד - ועד עובדים מלאכה
913139,נמל אשדוד - ועד עובדים מחלקת ים
913386,נמל חיפה - ועד עובדים
28482,"אולימפיה - נמל ת""א"
904012,נמל אילת
913748,חברת נמל אילת בעמ
913749,חברת נמל אשדוד בעמ
913831,חברת נמל חיפה בעמ
926346,"חברת נמל חיםה ב""מ וועדי תפעול טרנספורט+סוור"
905872,ועד עובדי נמל חיפה
913168,ועד מנהלי נמל אשדוד
918209,כלל אשראי ומימון
916872,"כלל ביוטכנולוגיה בע""מ"
1474,"כלל ביטוח אשראי בע""מ"
918203,כלל ביטוח בעמ
918221,"כלל בריאות בע""מ"
916187,$$$ כלל בריאות שירותי אשפוז
918235,כלל הראשון בריאות
918206,"כלל יהלומים בע""מ"
924073,כלל מוטורס בעמ
591,כלל מוצרי בטון בעמ
918215,כלל מימון אשראי צרכני
919690,"כלל מימון מרכזי לתעשיות (1962) בע""מ"
918213,כלל מימון משכנאות
918214,"כלל מימון פקטורינג בע""מ"
918261,"כלל פיננסים בע""מ"
918826,כלל פיננסים בטוחה ניהול השקעות
918827,"כלל פיננסים ברוקראז' בע""מ"
918828,"כלל פיננסים קרנות נאמנות בע""מ"
918829,"כלל פיננסים נגזרים בע""מ"
918830,"כלל פיננסים חיתום בע""מ"
918831,"כלל פיננסים נאמנויות (2007) בע""מ"
918833,כלל פיננסים בטוחה ניהול השקעות
918954,"כלל פיננסים טהורי בע""מ"
918219,כלל פנסיה וגמל
914100,"כלל שירותי ניהול פנסיה וגמל בע""מ"
918220,כלל שירותי ניהול
909446,כלל תעשיות בעמ
913254,"כלל תעשיות והשקעות בע""מ"
917370,מגדל אור מחשבה
911041,&&&&מגדל אור
927546,"מגדל הקיסר ניהול ואחזקה 1996 בע""מ"
2031,מגדל חברה לביטוח בע
918917,"מגדל משה אביב - ניהול בע""מ"
916021,מגדל שוקי הון
914501,"מע""צ - החברה הלאומית לדרכים בישראל"
914547,משקי הגליל העליון
909907,משקי המפרץ
909684,משקי המפרץ-לינרו לייט
16518,משקי הנגב אגודה שיתופית מרכזית
909544,משקי הנגב-רביבים
914225,משקי עמק בית שאן
917768,"משקי עמק הירדן אגודה שיתופית בע""מ"
909792,משקי עמק יזרעאל
909815,משקי עמק יזרעאל - תמוז
922131,אגד
811,אגד אגודה שתופית לתח
922136,אגד אחיסמך
921599,אגד בעמ סניף הר נוף ירושלים
920990,אגד הסעים בעמ
926812,                   אגד חברה לתחבורה בעמ
920429,אגד סניף רחובות
917044,אגד   ועד עובדים צפון
919161,אגד - ועד עובדים
13316,"אגד - תיור ונסיעות (96) בע""מ"
922084,"אגד תיור ונופש בע""מ"
915804,אוהל שמעון שליט מירית
921692,אגד תעבורה בעמ ועד
915957,איחוד מוסדות גור
916000,איחוד מוסדות גור
921002,מס הכנסה חיפה - ועד עובדים
908754,מס הכנסה ירושלים ועד
911260,מס הכנסה כפר סבא-ועד עובדים
901962,מס הכנסה נתניה - ועד
924155,מס הכנסה פתח תקווה - ועד
907474,נציבות מס הכנסה תל א
912936,$$$ נציבות מס הכנסה - ירושלים - ועד
810090,KPMG סומך חייקין
7154,סונול ישראל בעמ   ו
901298,סלקום ישראל בעמ
925010,סלקום ישראל בעמ ועד עובדים ומשאן
924746,סלקום תקשורת קווית
912483,עירא שירות שיווק תפעול וניהול
915290,עיריית אור עקיבא ועד
925028,"עיריית אור עקביא - עמותת ""יפתח"""
925079,עיריית אור עקביא
6184,עיריית חולון
913947,עיריית חולון
900142,עיריית חיפה
913897,עיריית חיפה - ארגון האקדמאים
924690,עיריית חיפה - רווחה
901237,עיריית יהוד    ועד עו
900297,עיריית נתניה ועד עוב
903486,עיריית נתניה - ועד הפנסיונרים
912715,עיריית נתניה - אגף הרווחה
914782,עיריית נתניה - ועד עובדים
919022,עיריית נתניה ועד עובדים
900338,עיריית פתח תקווה
900145,עיריית ראשון לציון
914719,עיריית ראשון לציון ו
925345,"עיריית ראשל""צ - אגף לטיפול וקידום נוער וצעירים"
19849,עיריית רמת גן - ועד
902561,עיריית רמת גן - ועד הפועלים
907096,עיריית רמת גן-לשכת ראש העיר
909507,עיריית רמת גן
911140,עיריית רמת גן - מחלקת ספורט
914870,עיריית תל אביב
917857,עיריית תל אביב - המנהל לחינוך
920205,עיריית תל אביב - ועד עובדים
924370,עיריית תל אביב ועד ע
927176,עיריית תל אביב -יפו
900099,עיריית תל-אביב
900202,עיריית תל-אביב - ועד הנהגים
1291,"עיריית ת""א - מנגנון"
912716,"עיריית ת""א-יפו - מנהל השרותים"
906612,"עיריית ת""א - מחלקה לקידום נוער"
916381,"עיריית ת""א - תרומה לנזקקים"
8654,על בד חד פעמי
48781,"על בד משואות יצחק בע""מ"
901105,עלבד
916440,עמודי שמשון
