מספר חברה,שם חברה
924073,כלל מוטורס בעמ
591,כלל מוצרי בטון בעמ
918215,#N/A
919690,"כלל מימון מרכזי לתעשיות (1962) בע""מ"
918213,#N/A
918214,#N/A
918261,#N/A
918826,#N/A
918827,#N/A
918828,#N/A
918829,#N/A
918830,#N/A
918831,#N/A
918833,#N/A
918954,#N/A
918219,כלל פנסיה וגמל
914100,#N/A
918220,#N/A
909446,כלל תעשיות בעמ
913254,#N/A
917370,#N/A
911041,&&&&מגדל אור
927546,#N/A
2031,מגדל חברה לביטוח בע
918917,#N/A
916021,מגדל שוקי הון
914501,#N/A
914547,#N/A
909907,#N/A
909684,משקי המפרץ-לינרו לייט
16518,#N/A
909544,#N/A
914225,#N/A
917768,#N/A
909792,#N/A
909815,#N/A
922131,#N/A
811,אגד אגודה שתופית לתח
922136,#N/A
921599,#N/A
920990,אגד הסעים בעמ
926812,                   אגד חברה לתחבורה בעמ
920429,#N/A
917044,אגד   ועד עובדים צפון
919161,#N/A
13316,#N/A
922084,#N/A
915804,#N/A
921692,אגד תעבורה בעמ ועד
915957,#N/A
916000,#N/A
921002,#N/A
908754,מס הכנסה ירושלים ועד
911260,מס הכנסה כפר סבא-ועד עובדים
901962,#N/A
924155,#N/A
907474,נציבות מס הכנסה תל א
912936,$$$ נציבות מס הכנסה - ירושלים - ועד
810090,KPMG סומך חייקין
7154,סונול ישראל בעמ   ו
901298,סלקום ישראל בעמ
925010,סלקום ישראל בעמ ועד עובדים ומשאן
924746,סלקום תקשורת קווית
912483,#N/A
915290,עיריית אור עקיבא ועד
925028,#N/A
925079,#N/A
6184,#N/A
913947,עיריית חולון
900142,#N/A
913897,#N/A
924690,#N/A
901237,עיריית יהוד    ועד עו
900297,עיריית נתניה ועד עוב
903486,#N/A
912715,#N/A
914782,#N/A
919022,#N/A
900338,עיריית פתח תקווה
900145,#N/A
914719,עיריית ראשון לציון ו
925345,#N/A
19849,#N/A
902561,#N/A
907096,עיריית רמת גן-לשכת ראש העיר
909507,#N/A
911140,#N/A
914870,#N/A
917857,#N/A
920205,#N/A
924370,עיריית תל אביב ועד ע
927176,#N/A
900099,#N/A
900202,#N/A
1291,#N/A
912716,#N/A
906612,#N/A
916381,#N/A
8654,#N/A
48781,#N/A
901105,#N/A
916440,#N/A
900553,עמותת הגמלאים שליד ה
918087,#N/A
924372,#N/A
922865,עמותת עולים ועומדים
900482,עמל 1 בעמ חלצ
908572,פארק תעשייה קיסריה
912024,פוקס ויזל בעמ
923047,פוקס ויזל בעמ
907222,"פשמ""ג-ועד עובדים"
912958,#N/A
3184,#N/A
1734,צים שירותי ספנות משו
918812,"צים שירותי ספנות משולבים בע""מ -חוף"
921127,קבוצת גולד בונד בעמ
901432,#N/A
918486,#N/A
9832,#N/A
912643,#N/A
35542,#N/A
910465,#N/A
528,קרסו מוטורוס בעמ
900650,#N/A
911099,רכבת ישראל
927459,רכבת ישראל -ועד עובדים
912227,#N/A
911271,#N/A
2486,#N/A
903854,#N/A
914135,#N/A
914529,#N/A
919516,#N/A
908288,#N/A
911121,רשות הדואר טבריה ועד
913298,רשות הדואר מודיעין
901482,#N/A
902356,חברת דואר ישראל בעמ
902556,"חברת דואר ישראל בע""מ-ועד עובדי חולון"
910229,חברת דואר ישראל בעמ
914350,חברת דואר ישראל שרות
914427,חברת דואר ישראל בעמ
914780,#N/A
915029,חברת דואר ישראל בעמ
915030,חברת דואר ישראל בעמ
915031,חברת דואר ישראל בעמ
915032,חברת דואר ישראל בעמ
915033,חברת דואר ישראל בעמ
915047,חברת דואר ישראל בעמ
915088,חברת דואר ישראל בעמ
915089,חברת דואר ישראל בעמ
915090,חברת דואר ישראל בעמ
915093,חברת דואר ישראל בעמ
915094,חברת דואר ישראל בעמ
915127,חברת דואר ישראל בעמ
915285,#N/A
915349,חברת דואר ישראל ועד
915368,חברת דואר ישראל בעמ
915385,חברת דואר ישראל בעמ
917137,#N/A
917145,#N/A
917146,חברת דואר ישראל בעמ
917188,חברת דואר ישראל ועד
917193,חברת דואר ישראל - ועד דואר קריית שמונה
917232,חברת דואר ישראל ועד
917962,חברת דואר ישראל  מרח
923104,חברת דואר ישראל ועד
7480,#N/A
910609,רשות שדות התעופה ועד
912559,רשות שדות התעופה   ו
914234,#N/A
915017,רשות שדות התעופה ועד
916136,ש שלמה אחזקות בעמ
921361,ש שלמה חברה לביטוח
916137,ש שלמה מכירות רכב ב
